USPS	GEOID	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
AL	01	Alabama	131185049346	4582326383	50650.834	1769.244	+32.7598003	-86.8302257
AK	02	Alaska	1479016910296	245347100126	571051.641	94729.050	+63.7261693	-149.8362183
AZ	04	Arizona	294366106734	854003932	113655.393	329.732	+34.2693207	-111.6666680
AR	05	Arkansas	134660466558	3122251184	51992.701	1205.509	+34.8911375	-92.4422635
CA	06	California	403673296401	20291770234	155859.140	7834.695	+37.1477708	-119.5469251
CO	08	Colorado	268418756810	1185758065	103637.064	457.825	+38.9738355	-105.5500531
CT	09	Connecticut	12541750274	1816364426	4842.397	701.302	+41.6074793	-72.7234376
DE	10	Delaware	5046703781	1399207462	1948.544	540.237	+38.9982172	-75.4541335
DC	11	District of Columbia	158316184	18709787	61.126	7.224	+38.9042470	-77.0165170
FL	12	Florida	138963763779	45970528648	53654.211	17749.324	+28.6314039	-82.5122163
GA	13	Georgia	149485311347	4419673221	57716.602	1706.447	+32.6323621	-83.4464966
HI	15	Hawaii	16634423916	11777375352	6422.588	4547.271	+20.2356591	-156.3621671
ID	16	Idaho	214049886849	2391614331	82645.128	923.409	+44.3381960	-114.6371576
IL	17	Illinois	143778366814	6216688589	55513.143	2400.277	+40.0409258	-89.1890342
IN	18	Indiana	92786613552	1543998356	35825.116	596.137	+39.8944612	-86.2781376
IA	19	Iowa	144659283871	1086402333	55853.263	419.465	+42.0656868	-93.5031575
KS	20	Kansas	211753777631	1345707708	81758.593	519.581	+38.4740563	-98.3909027
KY	21	Kentucky	102266598312	2384223544	39485.360	920.557	+37.5245586	-85.2729206
LA	22	Louisiana	111930452904	23721187320	43216.591	9158.802	+31.1013980	-92.0479058
ME	23	Maine	79888284131	11745177995	30845.040	4534.839	+45.3772294	-69.2087571
MD	24	Maryland	25151736098	6979330958	9711.141	2694.736	+39.0373774	-76.8051174
MA	25	Massachusetts	20204345054	7130705555	7800.941	2753.179	+42.2468040	-71.8053574
MI	26	Michigan	146619947556	103866186527	56610.281	40102.959	+44.3096091	-85.4144190
MN	27	Minnesota	206244555303	18937471947	79631.472	7311.803	+46.2216299	-94.3234539
MS	28	Mississippi	121533540877	3914738613	46924.358	1511.488	+32.7263639	-89.6613528
MO	29	Missouri	178052260322	2487519141	68746.366	960.438	+38.3476999	-92.4672961
MT	30	Montana	376973185941	3867177570	145550.167	1493.123	+46.9987245	-109.6331762
NE	31	Nebraska	198949602728	1379309601	76814.874	532.556	+41.5178966	-99.7966216
NV	32	Nevada	284537045712	1839880833	109860.371	710.383	+39.3063958	-116.6302452
NH	33	New Hampshire	23190126365	1025956733	8953.759	396.125	+43.6711367	-71.5815576
NJ	34	New Jersey	19049183398	3532816229	7354.934	1364.025	+40.1830263	-74.6628281
NM	35	New Mexico	314198587197	726463919	121312.759	280.486	+34.3917993	-106.1112021
NY	36	New York	122049078273	19256833049	47123.414	7435.105	+42.9409020	-75.5375602
NC	37	North Carolina	125935880061	13453540851	48624.119	5194.442	+35.5354401	-79.3862529
ND	38	North Dakota	178694342677	4414747947	68994.274	1704.547	+47.4266192	-100.4630105
OH	39	Ohio	105823831336	10274524796	40858.808	3967.017	+40.2879849	-82.7916600
OK	40	Oklahoma	177664484361	3373395450	68596.640	1302.479	+35.5766220	-97.5251043
OR	41	Oregon	248630419895	6168960338	95996.747	2381.851	+43.9204587	-120.5566191
PA	42	Pennsylvania	115881839569	3397855215	44742.225	1311.921	+40.8707722	-77.8062283
RI	44	Rhode Island	2677763372	1323686976	1033.892	511.079	+41.6470627	-71.5560659
SC	45	South Carolina	77866000436	5074443652	30064.230	1959.253	+33.9109125	-80.8914007
SD	46	South Dakota	196341525171	3387709166	75807.888	1308.001	+44.4185019	-100.2376740
TN	47	Tennessee	106792311478	2322248149	41232.744	896.628	+35.8378451	-86.3520794
TX	48	Texas	676686238592	18982083586	261270.027	7329.028	+31.4430094	-99.3768680
UT	49	Utah	213921849163	5963196691	82595.692	2302.406	+39.2581913	-111.6563716
VT	50	Vermont	23872589127	1030648383	9217.258	397.935	+44.0539830	-72.6561483
VA	51	Virginia	102258163252	8528087616	39482.095	3292.712	+37.5101391	-78.8587650
WA	53	Washington	172118778986	12548923076	66455.433	4845.170	+47.3715192	-120.4541492
WV	54	West Virginia	62266499712	489003081	24041.234	188.808	+38.6327984	-80.6174863
WI	55	Wisconsin	140292627460	29343084365	54167.286	11329.426	+44.6237986	-89.9892210
WY	56	Wyoming	251458162746	1868053273	97088.542	721.261	+42.9811812	-107.5324916
PR	72	Puerto Rico	8869031577	4922247037	3424.352	1900.492	+18.2186677	-66.4802004
